INF 13:26:50.451   |ClsSender|QUEUE|   Total:167061 retry:166975(keep:167058) retry_old:85 outgoing:1
INF 13:27:00.469   |B9XP-EXT|aed7299204f5ac1b:1608532020144-4ddc304bc38041daed7299204f5ac1b:SUA01|   OnAddGroupMember
DBG 13:27:00.469   |B9XP-EXT|aed7299204f5ac1b:1608532020144-4ddc304bc38041daed7299204f5ac1b:SUA01|   OK >> 0283facc60/0283facc60///USR0283facc60
DBG 13:27:00.469   |B9XP-EXT|[T1]  0283facc60 > #S    [type:][version:][code:SUA01][id:1608532020775][f_pin:aed7299204f5ac1b][l_pin:][{Bb:aed7299204f5ac1b}{B10:aed7299204f5ac1b}{A00:0283facc60}{Bd:2.0}{A02:USR0283facc60}{A03:}{A18:1608532020144-4ddc304bc38041daed7299204f5ac1b}{A111:null}{A144:100}{BQ:1608532020144-4ddc304bc38041daed7299204f5ac1b}{B5:}{B7:0283facc60}{B8:0283facc60}{Api:MC42NTE3NDAwMCAxNjA4MjkxMTAxZnBpZmJpeW1vQHNwbGl0cGFyZW50cy5jb20=}{BE_INFO:}{A97:00}][]|   onSubmitLoginByPIN: [type:][version:][code:SUA01][id:1608532020775][f_pin:aed7299204f5ac1b][l_pin:][{Bb:aed7299204f5ac1b}{B10:aed7299204f5ac1b}{A00:0283facc60}{Bd:2.0}{A02:USR0283facc60}{A03:}{A18:1608532020144-4ddc304bc38041daed7299204f5ac1b}{A111:null}{A144:100}{BQ:1608532020144-4ddc304bc38041daed7299204f5ac1b}{B5:}{B7:0283facc60}{B8:0283facc60}{Api:MC42NTE3NDAwMCAxNjA4MjkxMTAxZnBpZmJpeW1vQHNwbGl0cGFyZW50cy5jb20=}{BE_INFO:}{A97:00}][]
DBG 13:27:00.469   |B9XP-EXT|aed7299204f5ac1b:1608532020144-4ddc304bc38041daed7299204f5ac1b:SUA01|   Person information : {A43=0, A00=0283facc60, oacc=0, A02=USR0283facc60, A03=, A48=0, A144=100, ogi=, ogn=, AID=, ogt=, A10=1, A54=null, A11=1608532020320, LSG=, A59=null, A16=, A157=, A158=, A155=0, FL5=1, FL4=0, A154=0, FL6=0, B5=, B6=, B7=0283facc60, A20=-1, B7T=0, A21=, A22=0, A23=, A27=, A29=1608532020320, A129=-1, A168=, A169=, ROOT_BE=5, A166=, tflr=0, RNAM=, A167=, A164=, A165=, BV=, V01=, ISA=0, BE_INFO=, A74=, Bb=aed7299204f5ac1b, certf=, A37=, A38=, A131=0, Bv=0, Bw=}
INF 13:27:00.469   |ClsSender|0283facc60:USR0283facc60|   RESPONSE clm:aed7299204f5ac1b pckid:1608532020144-4ddc304bc38041daed7299204f5ac1b msgcode:SUA01 msg:SUA011608532020775aed7299204f5ac1bA000283facc60A02USR0283facc60A111A144100B5B70283facc60BE_INFOA9700 resp:1608532020469-D4569
DBG 13:27:00.469   |B9XP-EXT|[T4]  #S > 0283facc60    [type:][version:][code:SUA01][id:1608532020775][f_pin:aed7299204f5ac1b][l_pin:][{A00:0283facc60}{A02:USR0283facc60}{A111:null}{A144:100}{B5:}{B7:0283facc60}{BE_INFO:}{A97:00}][]|   ERC._OK
INF 13:27:00.543   |CLXOtherQueueProcessor0|aed7299204f5ac1b|   incoming asycnACKReceived packetid:1608532020469-D4569 connectionid: aed7299204f5ac1b
DBG 13:27:00.543   |ClsSender|0283facc60:USR0283facc60|   ACK > 1608532020469-D4569
INF 13:27:00.543   |CLXOtherQueueProcessor0|aed7299204f5ac1b|   asycnACKReceived packetid:1608532020469-D4569
INF 13:27:00.821   |CLXConnStateProcessor0|[CLXConnStateProcessor0][Android@nuSDK-J8-20121202x-B29-T29-162@/114.124.177.144:55216][Android@nuSDK-J8-20121202x-B29-T29-162@/114.124.177.144:55216]|   connectionStateChanged sClientD:'aed7299204f5ac1b', sDeviceID:'Android@nuSDK-J8-20121202x-B29-T29-162@/114.124.177.144:55216', bState:false
DBG 13:27:00.821   |Sphere.Person|0283facc60:USR0283facc60|   setAutoQuote: false  -1:-1 | :
DBG 13:27:00.821   |Sphere.Person|0283facc60:USR0283facc60|   setAutoQuote: false  -1:-1 | :
DBG 13:27:00.821   |Sphere.Person|0283facc60:USR0283facc60|   setAutoQuote: false  -1:-1 | :
INF 13:27:00.821   |CLXConnStateProcessor0|0283facc60:USR0283facc60|   [TX] CLS connectionStateChanged... status:DISCONNECTED bitset:false
DBG 13:27:01.800   |DB|Fetch|   Success... duration:297nt query:select ID from BUSINESS_ENTITY where API = 'MC42NTE3NDAwMCAxNjA4MjkxMTAxZnBpZmJpeW1vQHNwbGl0cGFyZW50cy5jb20=' and now() between SC_DATE and EC_DATE
INF 13:27:01.821   |CLXConnStateProcessor0|[CLXConnStateProcessor0][Android@nuSDK-J8-20121202x-B29-T29-162@/114.124.177.144:55220][Android@nuSDK-J8-20121202x-B29-T29-162@/114.124.177.144:55220]|   connectionStateChanged sClientD:'0283facc60', sDeviceID:'Android@nuSDK-J8-20121202x-B29-T29-162@/114.124.177.144:55220', bState:true
INF 13:27:01.821   |CLXConnStateProcessor0|0283facc60|   [TX] CLS connectionStateChanged... status:CONNECTED not found!
INF 13:27:03.071   |CLXIncQueueProcessor1|PROCESS DATA|   MtS [0283facc60:1608532023007-4ddc304bc38041daed7299204f5ac1b:1608532023007-4ddc304bc38041daed7299204f5ac1b] [type:][version:][code:CCI][id:1608532020776][f_pin:0283facc60][l_pin:][{Bb:0283facc60}{A00:0283facc60}{LSG:UNK}{Bd:2.0}{AID:UNK}][]
INF 13:27:03.071   |CLXIncQueueProcessor1|0283facc60:1608532023007-4ddc304bc38041daed7299204f5ac1b:CCI|   MtS [1608532023007-4ddc304bc38041daed7299204f5ac1b] [type:][version:][code:CCI][id:1608532020776][f_pin:0283facc60][l_pin:][{Bb:0283facc60}{A00:0283facc60}{LSG:UNK}{B10:0283facc60}{Bd:2.0}{B8:0283facc60}{AID:UNK}{BQ:1608532023007-4ddc304bc38041daed7299204f5ac1b}][]
DBG 13:27:03.071   |B9XP|0283facc60:1608532023007-4ddc304bc38041daed7299204f5ac1b:CCI|   onChangeConnectionID
DBG 13:27:03.071   |B9XP|0283facc60:1608532023007-4ddc304bc38041daed7299204f5ac1b:CCI|   onChangeConnectionID 0283facc60
DBG 13:27:03.071   |B9XP|0283facc60:1608532023007-4ddc304bc38041daed7299204f5ac1b:CCI|   Person information : {A43=0, A00=0283facc60, oacc=0, A02=USR0283facc60, A03=, A48=0, A144=100, ogi=, ogn=, AID=, ogt=, A10=1, A54=null, A11=1608532020821, LSG=, A59=null, A16=, A157=, A158=, A155=0, FL5=1, FL4=0, A154=0, FL6=0, B5=, B6=, B7=0283facc60, A20=-1, B7T=0, A21=null, A22=0, A23=, A27=, A29=1608532020320, A129=-1, A168=, A169=, ROOT_BE=5, A166=, tflr=0, RNAM=, A167=, A164=, A165=, BV=, V01=, ISA=0, BE_INFO=, A74=, Bb=aed7299204f5ac1b, certf=, A37=, A38=, A131=0, Bv=0, Bw=}
DBG 13:27:03.071   |B9XP|[T2]  #S > #DB    [type:][version:][code:CCI][id:1608532020776][f_pin:0283facc60][l_pin:][{Bb:0283facc60}{A00:0283facc60}{LSG:UNK}{B10:0283facc60}{Bd:2.0}{B8:0283facc60}{AID:UNK}{BQ:1608532023007-4ddc304bc38041daed7299204f5ac1b}][]|   Update person information!
DBG 13:27:03.073   |DB|Fetch Row|   Success... duration:1762nt query:select GROUP_ID from MEMBERS where F_PIN='0283facc60'
DBG 13:27:03.092   |DB|Update|   Success... duration:19078mt query:UPDATE USER_LIST set IMEI='0283facc60',  LAST_UPDATE = '2020-12-21 13:27:03' where F_PIN='0283facc60'
INF 13:27:03.092   |ClsSender|0283facc60:USR0283facc60|   RESPONSE clm:0283facc60 pckid:1608532023007-4ddc304bc38041daed7299204f5ac1b msgcode:CCI msg:CCI16085320207760283facc60A9700 resp:1608532023092-D4569
DBG 13:27:03.092   |B9XP|[T4]  #S > 0283facc60    [type:][version:][code:CCI][id:1608532020776][f_pin:0283facc60][l_pin:][{A97:00}][]|   ERC._OK
INF 13:27:03.141   |CLXOtherQueueProcessor0|0283facc60|   incoming asycnACKReceived packetid:1608532023092-D4569 connectionid: 0283facc60
DBG 13:27:03.141   |ClsSender|0283facc60:USR0283facc60|   ACK > 1608532023092-D4569
INF 13:27:03.141   |CLXOtherQueueProcessor0|0283facc60|   asycnACKReceived packetid:1608532023092-D4569
INF 13:27:03.201   |CLXIncQueueProcessor5|PROCESS DATA|   MtS [0283facc60:1608532023160-4ddc304bc38041daed7299204f5ac1b:1608532023160-4ddc304bc38041daed7299204f5ac1b] [type:][version:][code:A050][id:1608532020777][f_pin:0283facc60][l_pin:][{Bb:0283facc60}{Bd:2.0}][]
INF 13:27:03.201   |CLXIncQueueProcessor5|0283facc60:USR0283facc60:A050|   MtS [1608532023160-4ddc304bc38041daed7299204f5ac1b] [type:][version:][code:A050][id:1608532020777][f_pin:0283facc60][l_pin:][{Bb:0283facc60}{B10:0283facc60}{Bd:2.0}{B8:0283facc60}{BQ:1608532023160-4ddc304bc38041daed7299204f5ac1b}][]
DBG 13:27:03.201   |B9XP|0283facc60:USR0283facc60:A0500283facc60:USR0283facc60:INIT|   OnPostRegistration
INF 13:27:03.201   |ClsSender|0283facc60:USR0283facc60|   RESPONSE clm:0283facc60 pckid:1608532023160-4ddc304bc38041daed7299204f5ac1b msgcode:A050 msg:A05016085320207770283facc60A9700 resp:1608532023202-D4569
DBG 13:27:03.202   |DB|Update|   Success... duration:227mt query:UPDATE USER_LIST SET IS_DEACTIVATED = 0 WHERE F_PIN = '0283facc60'
DBG 13:27:03.226   |DB|Update|   Success... duration:23638mt query:update USER_LIST set RESET_FLAG=2 where F_PIN='0283facc60'
DBG 13:27:03.226   |XP|null|   pushInitializationn
DBG 13:27:03.226   |DB|Fetch|   Success... duration:157nt query:SELECT PASSWORD from USER_LIST_EXTENDED where F_PIN= '0283facc60'
DBG 13:27:03.226   |DB|Fetch|   Success... duration:136nt query:SELECT f_pin, l_pin from BLOCK_USER where f_pin='0283facc60' AND l_pin = '0275a6f0ab'
DBG 13:27:03.226   |DB|Fetch|   Success... duration:129nt query:SELECT f_pin, l_pin from BLOCK_USER where f_pin='0275a6f0ab' AND l_pin = '0283facc60'
DBG 13:27:03.227   |DB|Fetch|   Success... duration:135nt query:SELECT f_pin, l_pin from BLOCK_USER where f_pin='0283facc60' AND l_pin = '0283f24875'
DBG 13:27:03.227   |DB|Fetch|   Success... duration:116nt query:SELECT f_pin, l_pin from BLOCK_USER where f_pin='0283f24875' AND l_pin = '0283facc60'
DBG 13:27:03.228   |DB|Fetch|   Success... duration:140nt query:select IS_SUPER_ADMIN, IS_SUSPENDED from USER_LIST_EXTENDED where F_PIN='0283facc60'
INF 13:27:03.228   |XP|0283facc60:USR0283facc60:A0500283facc60:USR0283facc60:INIT|   GROUPS.SIZE >> 0
INF 13:27:03.228   |ClsSender|sSendAndKeep|0283facc60:USR0283facc60|   WRITE imei:0283facc60 pckid:1608532023228-D4569 msgid:null msgcode:RST2 msg:RST217683fad7be
INF 13:27:03.301   |CLXOtherQueueProcessor0|0283facc60|   incoming asycnACKReceived packetid:1608532023202-D4569 connectionid: 0283facc60
DBG 13:27:03.301   |ClsSender|0283facc60:USR0283facc60|   ACK > 1608532023202-D4569
INF 13:27:03.301   |CLXOtherQueueProcessor0|0283facc60|   asycnACKReceived packetid:1608532023202-D4569
INF 13:27:03.343   |CLXOtherQueueProcessor0|0283facc60|   incoming asycnACKReceived packetid:1608532023228-D4569 connectionid: 0283facc60
DBG 13:27:03.343   |ClsSender|0283facc60:USR0283facc60|   ACK > 1608532023228-D4569
INF 13:27:03.343   |CLXOtherQueueProcessor0|0283facc60:USR0283facc60|   asycnACKReceived packetid:1608532023228-D4569 message:RST217683fad7be
INF 13:27:03.409   |CLXIncQueueProcessor0|PROCESS DATA|   MtS [0283facc60:1608532023362-4ddc304bc38041daed7299204f5ac1b:1608532023362-4ddc304bc38041daed7299204f5ac1b] [type:][version:][code:A050][id:1608532020778][f_pin:0283facc60][l_pin:][{Bb:0283facc60}{Bd:2.0}][]
INF 13:27:03.409   |CLXIncQueueProcessor0|0283facc60:USR0283facc60:A050|   MtS [1608532023362-4ddc304bc38041daed7299204f5ac1b] [type:][version:][code:A050][id:1608532020778][f_pin:0283facc60][l_pin:][{Bb:0283facc60}{B10:0283facc60}{Bd:2.0}{B8:0283facc60}{BQ:1608532023362-4ddc304bc38041daed7299204f5ac1b}][]
DBG 13:27:03.409   |B9XP|0283facc60:USR0283facc60:A0500283facc60:USR0283facc60:INIT|   OnPostRegistration
INF 13:27:03.409   |ClsSender|0283facc60:USR0283facc60|   RESPONSE clm:0283facc60 pckid:1608532023362-4ddc304bc38041daed7299204f5ac1b msgcode:A050 msg:A05016085320207780283facc60A9700 resp:1608532023410-D4569
DBG 13:27:03.410   |DB|Update|   Success... duration:248mt query:UPDATE USER_LIST SET IS_DEACTIVATED = 0 WHERE F_PIN = '0283facc60'
DBG 13:27:03.410   |B9XP|0283facc60:USR0283facc60:A0500283facc60:USR0283facc60:INIT|   pushInitialization IGNORE!!!
INF 13:27:03.561   |CLXOtherQueueProcessor0|0283facc60|   incoming asycnACKReceived packetid:1608532023410-D4569 connectionid: 0283facc60
DBG 13:27:03.561   |ClsSender|0283facc60:USR0283facc60|   ACK > 1608532023410-D4569
INF 13:27:03.561   |CLXOtherQueueProcessor0|0283facc60|   asycnACKReceived packetid:1608532023410-D4569
INF 13:27:20.495   |ClsSender|02703b0cc1:Leri|   TIMEOUT_AND_RETRY_PUT key:null msg_id:02703b0cc1027034b1b51608277417807
DBG 13:27:20.495   |ClsSender|02703b0cc1:Leri:QUEUE_OLD|    [PUT] 1608277525264 < 1608532040495 02703b0cc1027034b1b51608277417807
INF 13:27:20.495   |ClsSender|02703b0cc1:Leri|   TIMEOUT_AND_RETRY_PUT key:null msg_id:02703b0cc10274cbbf851608277281642
DBG 13:27:20.495   |ClsSender|02703b0cc1:Leri:QUEUE_OLD|    [PUT] 1608277530802 < 1608532040495 02703b0cc10274cbbf851608277281642
INF 13:27:20.501   |ClsSender|0275006e62:USR0275006e62|   TIMEOUT_AND_RETRY_PUT key:null msg_id:02750104e71608280768901
DBG 13:27:20.501   |ClsSender|0275006e62:USR0275006e62:QUEUE_OLD|    [PUT] 1608280819899 < 1608532040501 02750104e71608280768901
